Time (sec),S:Load (lbs),S:Position (in),Ch:Position (in),Ch:Load (lbs),Ch:Stress (PSI),Ch:Strain (in),Set Point (),Cycles (),Ch:Strain_Orig ()
0.101000,0.384451,0.000000,0.000000,0.384451,NaN,NaN,-0.000008,0.000000,0.000000
0.102000,0.276805,0.000000,0.000000,0.276805,NaN,NaN,-0.000008,0.000000,0.000000
0.103000,0.153780,-0.000004,-0.000004,0.153780,NaN,NaN,-0.000008,0.000000,-0.000004
0.104000,0.507476,-0.000004,-0.000004,0.507476,NaN,NaN,-0.000008,0.000000,-0.000004
0.105000,0.615122,0.000000,0.000000,0.615122,NaN,NaN,-0.000008,0.000000,0.000000
0.106000,0.492098,-0.000004,-0.000004,0.492098,NaN,NaN,-0.000008,0.000000,-0.000004
0.107000,0.369073,-0.000004,-0.000004,0.369073,NaN,NaN,-0.000008,0.000000,-0.000004
0.108000,0.307561,0.000000,0.000000,0.307561,NaN,NaN,-0.000008,0.000000,0.000000
0.109000,0.369073,0.000000,0.000000,0.369073,NaN,NaN,-0.000008,0.000000,0.000000
0.110000,0.615122,-0.000004,-0.000004,0.615122,NaN,NaN,-0.000008,0.000000,-0.000004
0.111000,0.645878,-0.000004,-0.000004,0.645878,NaN,NaN,-0.000008,0.000000,-0.000004
0.112000,0.307561,0.000000,0.000000,0.307561,NaN,NaN,-0.000008,0.000000,0.000000
0.113000,0.169159,-0.000004,-0.000004,0.169159,NaN,NaN,-0.000008,0.000000,-0.000004
0.114000,0.276805,-0.000004,-0.000004,0.276805,NaN,NaN,-0.000008,0.000000,-0.000004
0.115000,0.399829,0.000000,0.000000,0.399829,NaN,NaN,-0.000008,0.000000,0.000000
0.116000,0.322939,0.000000,0.000000,0.322939,NaN,NaN,-0.000008,0.000000,0.000000
0.117000,0.215293,-0.000004,-0.000004,0.215293,NaN,NaN,-0.000008,0.000000,-0.000004
0.118000,0.123024,-0.000004,-0.000004,0.123024,NaN,NaN,-0.000008,0.000000,-0.000004
0.119000,0.123024,0.000000,0.000000,0.123024,NaN,NaN,-0.000008,0.000000,0.000000
0.120000,0.415207,0.000000,0.000000,0.415207,NaN,NaN,-0.000008,0.000000,0.000000
0.121000,0.430585,-0.000004,-0.000004,0.430585,NaN,NaN,-0.000008,0.000000,-0.000004
0.122000,0.430585,-0.000004,-0.000004,0.430585,NaN,NaN,-0.000008,0.000000,-0.000004
0.123000,0.153780,0.000000,0.000000,0.153780,NaN,NaN,-0.000008,0.000000,0.000000
0.124000,-0.046134,-0.000004,-0.000004,-0.046134,NaN,NaN,-0.000008,0.000000,-0.000004
0.125000,0.107646,-0.000004,-0.000004,0.107646,NaN,NaN,-0.000008,0.000000,-0.000004
0.126000,0.230671,0.000000,0.000000,0.230671,NaN,NaN,-0.000008,0.000000,0.000000
0.127000,0.230671,0.000000,0.000000,0.230671,NaN,NaN,-0.000008,0.000000,0.000000
0.128000,0.046134,-0.000004,-0.000004,0.046134,NaN,NaN,-0.000008,0.000000,-0.000004
0.129000,-0.061512,-0.000004,-0.000004,-0.061512,NaN,NaN,-0.000008,0.000000,-0.000004
0.130000,0.030756,0.000000,0.000000,0.030756,NaN,NaN,-0.000008,0.000000,0.000000
0.131000,0.184537,-0.000004,-0.000004,0.184537,NaN,NaN,-0.000008,0.000000,-0.000004
0.132000,0.276805,-0.000004,-0.000004,0.276805,NaN,NaN,-0.000008,0.000000,-0.000004
0.133000,0.153780,0.000000,0.000000,0.153780,NaN,NaN,-0.000008,0.000000,0.000000
0.134000,0.092268,0.000000,0.000000,0.092268,NaN,NaN,-0.000008,0.000000,0.000000
0.135000,0.000000,-0.000004,-0.000004,0.000000,NaN,NaN,-0.000008,0.000000,-0.000004
0.136000,0.353695,0.000000,0.000000,0.353695,NaN,NaN,-0.000008,0.000000,0.000000
0.137000,0.645878,0.000000,0.000000,0.645878,NaN,NaN,-0.000008,0.000000,0.000000
0.138000,0.599744,-0.000004,-0.000004,0.599744,NaN,NaN,-0.000008,0.000000,-0.000004
0.139000,0.415207,-0.000004,-0.000004,0.415207,NaN,NaN,-0.000008,0.000000,-0.000004
0.140000,0.307561,0.000000,0.000000,0.307561,NaN,NaN,-0.000008,0.000000,0.000000
0.141000,0.522854,0.000000,0.000000,0.522854,NaN,NaN,-0.000008,0.000000,0.000000
0.142000,0.522854,-0.000004,-0.000004,0.522854,NaN,NaN,-0.000008,0.000000,-0.000004
0.143000,0.507476,0.000000,0.000000,0.507476,NaN,NaN,-0.000008,0.000000,0.000000
0.144000,0.292183,0.000000,0.000000,0.292183,NaN,NaN,-0.000008,0.000000,0.000000
0.145000,-0.030756,-0.000004,-0.000004,-0.030756,NaN,NaN,-0.000008,0.000000,-0.000004
0.146000,0.030756,-0.000004,-0.000004,0.030756,NaN,NaN,-0.000008,0.000000,-0.000004
0.147000,0.384451,0.000000,0.000000,0.384451,NaN,NaN,-0.000008,0.000000,0.000000
0.148000,0.553610,0.000000,0.000000,0.553610,NaN,NaN,-0.000008,0.000000,0.000000
0.149000,0.476720,-0.000004,-0.000004,0.476720,NaN,NaN,-0.000008,0.000000,-0.000004
0.150000,0.292183,-0.000004,-0.000004,0.292183,NaN,NaN,-0.000008,0.000000,-0.000004
0.151000,0.230671,0.000000,0.000000,0.230671,NaN,NaN,-0.000008,0.000000,0.000000
0.152000,0.461342,-0.000004,-0.000004,0.461342,NaN,NaN,-0.000008,0.000000,-0.000004
0.153000,0.707391,-0.000004,-0.000004,0.707391,NaN,NaN,-0.000008,0.000000,-0.000004
0.154000,0.615122,-0.000004,-0.000004,0.615122,NaN,NaN,-0.000008,0.000000,-0.000004
0.155000,0.430585,0.000000,0.000000,0.430585,NaN,NaN,-0.000008,0.000000,0.000000
0.156000,0.215293,-0.000004,-0.000004,0.215293,NaN,NaN,-0.000008,0.000000,-0.000004
0.157000,0.307561,-0.000004,-0.000004,0.307561,NaN,NaN,-0.000008,0.000000,-0.000004
0.158000,0.676634,0.000000,0.000000,0.676634,NaN,NaN,-0.000008,0.000000,0.000000
0.159000,0.599744,0.000000,0.000000,0.599744,NaN,NaN,-0.000008,0.000000,0.000000
0.160000,0.169159,-0.000004,-0.000004,0.169159,NaN,NaN,-0.000008,0.000000,-0.000004
0.161000,0.138402,-0.000004,-0.000004,0.138402,NaN,NaN,-0.000008,0.000000,-0.000004
0.162000,-0.015378,0.000000,0.000000,-0.015378,NaN,NaN,-0.000008,0.000000,0.000000
0.163000,0.138402,-0.000004,-0.000004,0.138402,NaN,NaN,-0.000008,0.000000,-0.000004
0.164000,0.123024,-0.000004,-0.000004,0.123024,NaN,NaN,-0.000008,0.000000,-0.000004
0.165000,0.076890,0.000000,0.000000,0.076890,NaN,NaN,-0.000008,0.000000,0.000000
0.166000,-0.184536,-0.000004,-0.000004,-0.184536,NaN,NaN,-0.000008,0.000000,-0.000004
0.167000,-0.107646,-0.000004,-0.000004,-0.107646,NaN,NaN,-0.000008,0.000000,-0.000004
0.168000,0.153780,0.000000,0.000000,0.153780,NaN,NaN,-0.000008,0.000000,0.000000
0.169000,0.399829,0.000000,0.000000,0.399829,NaN,NaN,-0.000008,0.000000,0.000000
0.170000,0.507476,-0.000004,-0.000004,0.507476,NaN,NaN,-0.000008,0.000000,-0.000004
0.171000,0.261427,0.000000,0.000000,0.261427,NaN,NaN,-0.000008,0.000000,0.000000
0.172000,0.215293,0.000000,0.000000,0.215293,NaN,NaN,-0.000008,0.000000,0.000000
0.173000,0.261427,-0.000004,-0.000004,0.261427,NaN,NaN,-0.000008,0.000000,-0.000004
0.174000,0.476720,-0.000004,-0.000004,0.476720,NaN,NaN,-0.000008,0.000000,-0.000004
0.175000,0.568988,0.000000,0.000000,0.568988,NaN,NaN,-0.000008,0.000000,0.000000
0.176000,0.199915,0.000000,0.000000,0.199915,NaN,NaN,-0.000008,0.000000,0.000000
0.177000,-0.030756,-0.000004,-0.000004,-0.030756,NaN,NaN,-0.000008,0.000000,-0.000004
0.178000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,-0.000008,0.000000,0.000000
0.179000,0.276805,0.000000,0.000000,0.276805,NaN,NaN,-0.000008,0.000000,0.000000
