Time (sec),S:Load (lbs),S:Position (in),Ch:Position (in),Ch:Load (lbs),Ch:Stress (PSI),Ch:Strain (in),Set Point (),Cycles (),Ch:Strain_Orig ()
1840.210083,1391.636475,0.766613,0.766613,1391.636475,NaN,NaN,0.766632,0.000000,0.766613
1840.220093,1391.498169,0.766617,0.766617,1391.498169,NaN,NaN,0.766636,0.000000,0.766617
1840.230103,1391.513550,0.766621,0.766621,1391.513550,NaN,NaN,0.766640,0.000000,0.766621
1840.240112,1391.974854,0.766624,0.766624,1391.974854,NaN,NaN,0.766644,0.000000,0.766624
1840.250122,1392.036377,0.766628,0.766628,1392.036377,NaN,NaN,0.766651,0.000000,0.766628
1840.260132,1392.174805,0.766632,0.766632,1392.174805,NaN,NaN,0.766651,0.000000,0.766632
1840.270142,1392.220947,0.766636,0.766636,1392.220947,NaN,NaN,0.766659,0.000000,0.766636
1840.280029,1391.651855,0.766640,0.766640,1391.651855,NaN,NaN,0.766663,0.000000,0.766640
1840.290039,1392.297729,0.766644,0.766644,1392.297729,NaN,NaN,0.766666,0.000000,0.766644
1840.300049,1391.821045,0.766647,0.766647,1391.821045,NaN,NaN,0.766670,0.000000,0.766647
1840.310059,1391.744141,0.766651,0.766651,1391.744141,NaN,NaN,0.766674,0.000000,0.766651
1840.320068,1392.128662,0.766659,0.766659,1392.128662,NaN,NaN,0.766682,0.000000,0.766659
1840.330078,1391.928711,0.766659,0.766659,1391.928711,NaN,NaN,0.766685,0.000000,0.766659
1840.340088,1392.789917,0.766666,0.766666,1392.789917,NaN,NaN,0.766689,0.000000,0.766666
1840.350098,1392.836060,0.766670,0.766670,1392.836060,NaN,NaN,0.766693,0.000000,0.766670
1840.360107,1391.928711,0.766674,0.766674,1391.928711,NaN,NaN,0.766697,0.000000,0.766674
1840.370117,1392.251587,0.766682,0.766682,1392.251587,NaN,NaN,0.766701,0.000000,0.766682
1840.380127,1392.789917,0.766685,0.766685,1392.789917,NaN,NaN,0.766705,0.000000,0.766685
1840.390137,1391.790283,0.766689,0.766689,1391.790283,NaN,NaN,0.766708,0.000000,0.766689
1840.400146,1392.190186,0.766693,0.766693,1392.190186,NaN,NaN,0.766712,0.000000,0.766693
